日期,净值增长量
2018/10/11,-3.51
2018/10/10,-0.9
2018/10/9,-0.26
2018/10/8,-3.24
2018/9/28,0.94
2018/9/27,0.57
2018/9/26,1.09
2018/9/25,-0.13
2018/9/21,2.15
2018/9/20,-0.45
2018/9/19,0.98
2018/9/18,1.53
2018/9/17,-1.57
2018/9/14,-0.39
2018/9/13,-1.67
2018/9/12,-2.32
2018/9/11,0.38
2018/9/10,-1.3
2018/9/7,1.58
2018/9/6,-0.87
2018/9/5,-0.93
2018/9/4,0.37
2018/9/3,0
2018/8/31,-1.59
2018/8/30,-1.39
2018/8/29,-0.36
2018/8/28,-0.18
2018/8/27,3.28
2018/8/24,0.44
2018/8/23,0.5
2018/8/22,-0.44
2018/8/21,3.34
2018/8/20,-1.08
2018/8/17,-3.32
2018/8/16,-0.06
2018/8/15,-2.98
2018/8/14,-0.24
2018/8/13,0.96
2018/8/10,1.9
2018/8/9,3.55
2018/8/8,-2.17
2018/8/7,1.96
2018/8/6,-3.3
2018/8/3,-2.79
2018/8/2,0.06
2018/8/1,-1.46
2018/7/31,0.35
2018/7/30,-3.13
2018/7/27,-0.57
2018/7/26,-1.01
2018/7/25,1.59
2018/7/24,1.15
2018/7/23,-4.56
2018/7/20,0.33
2018/7/19,-1.84
2018/7/18,-0.16
2018/7/17,-1.23
2018/7/16,0.43
2018/7/13,1.52
2018/7/12,2.17
2018/7/11,-0.17
2018/7/10,0.9
2018/7/9,3.84
2018/7/6,-0.17
2018/7/5,-2.21
2018/7/4,-1.57
2018/7/3,-0.89
2018/7/2,-0.28
2018/6/29,3.9
2018/6/28,-1.64
2018/6/27,-2.59
2018/6/26,-0.44
2018/6/25,0.33
2018/6/22,0.78
2018/6/21,-0.06
2018/6/20,2.55
2018/6/19,-2.38
2018/6/15,-1.04
2018/6/14,-0.76
2018/6/13,-1.24
2018/6/12,1.64
2018/6/11,-2.45
2018/6/8,-0.27
2018/6/7,-1.36
2018/6/6,0.69
2018/6/5,2.99
2018/6/4,-0.11
2018/6/1,-3.05
2018/5/31,2.37
2018/5/30,-1.01
2018/5/29,-3.94
2018/5/28,1.04
2018/5/25,0.99
2018/5/24,0.42
2018/5/23,-0.42
2018/5/22,2.3
2018/5/21,0.21
2018/5/18,0.54
2018/5/17,-1.69
2018/5/16,0.75
2018/5/15,1.79
2018/5/14,0.33
2018/5/11,-2.45
2018/5/10,1.84
2018/5/9,0.44
2018/5/8,-0.7
2018/5/7,2.09
2018/5/4,1.51
2018/5/3,-0.28
2018/5/2,0.73
2018/4/27,1.77
2018/4/26,-1.41
2018/4/25,2.25
2018/4/24,2.42
2018/4/23,-1.23
2018/4/20,-0.92
2018/4/19,0.7
2018/4/18,0.7
2018/4/17,-2.4
2018/4/16,0.69
2018/4/13,-2.42
2018/4/12,0.57
2018/4/11,-0.28
2018/4/10,1.08
2018/4/9,0.57
2018/4/4,-0.23
2018/4/3,0.17
2018/4/2,-0.85
2018/3/30,3.04
2018/3/29,-1.04
2018/3/28,-1.26
2018/3/27,1.1
2018/3/26,2.91
2018/3/23,-2.15
2018/3/22,-1.15
2018/3/21,-1.19
2018/3/20,2.27
2018/3/19,2.56
2018/3/16,-0.36
2018/3/15,0.24
2018/3/14,-0.53
2018/3/13,-1.52
2018/3/12,1.18
2018/3/9,0.59
2018/3/8,2.75
2018/3/7,-0.55
2018/3/6,2.42
2018/3/5,0.69
2018/3/2,-0.62
2018/3/1,1.2
2018/2/28,-0.5
2018/2/27,-0.37
2018/2/26,1.39
